Matrícula;Nome;Data de Nascimento;Sexo;Comentarios dos professores;Data dos comentários dos professores;Laudo;Descrição gerada por IA;Perído Letivo;Artes;Educação Física;Filosofia;Sociologia;Inglês;Física;Química;Biologia;Geografia;História;Matemática;Língua Portuguesa;Faltas;Comentarios dos pais
261199;Gustavo Albuquerque;26/11/1999;M;sente muito sono durante a aula;01/08/2006;TOC;;01/02/2006;6;6;;;4;;;;5;5;4;6;4;dificuldades para acordar
;;;;não segue a orientação do professor;01/08/2007;;;01/04/2006;5;5;;;5;;;;6;7;5;5;6;está deixando de dormir cedo
;;;;está conseguindo se adaptar as normas;01/08/2008;;;01/06/2006;7;6;;;5;;;;4;6;5;7;6;deixou algumas tarefas de casa incompletas
;;;;Ao longo do ano, ele apresentou um crescimento significativo em suas habilidades e no domínio dos conteúdos.;01/08/2009;;;01/08/2006;5;5;;;6;;;;5;4;4;5;11;se esforçou bastante para acompanhar os estudos 
;;;;participação em sala foi constante e agregou valor para a aula;01/08/2010;;;01/02/2007;4;4;;;5;;;;5;7;4;5;5;precisou de mais incentivo para manter a disciplina com as tarefas e prazos
;;;;em alguns momentos ele teve dificuldade em manter um ritmo consistente de estudos;01/08/2011;;;01/04/2007;5;5;;;4;;;;6;7;7;4;8;demonstrou responsabilidade em várias situações
;;;;deixou a desejar no cumprimento de prazos, o que impactou a qualidade de alguns trabalhos.;01/08/2012;;;01/06/2007;4;6;;;6;;;;7;5;5;4;3;teve dificuldade em organizar o tempo entre as obrigações escolares e as atividades pessoais
;;;;demonstrou grande iniciativa e criatividade nos projetos apresentados;01/08/2013;;;01/08/2007;5;5;;;4;;;;7;6;4;5;12;poderia ter aproveitado mais as oportunidades 
;;;;poderia ter aproveitado melhor as oportunidades de reforço e revisão ;01/08/2014;;;01/02/2008;3;5;;;7;;;;5;3;5;5;6;enfrentou dificuldades com algumas matérias e, às vezes, parecia desmotivado
;;;;postura colaborativa ajudando os colegas e contribuindo para o clima positivo da turma;01/08/2015;;;01/04/2008;5;6;;;7;;;;4;5;7;8;4;acreditamos que ele está no caminho certo
;;;;dificuldades com alguns conceitos, mas poderia ter se empenhado mais ;01/08/2016;;;01/06/2008;5;7;;;5;;;;7;5;8;9;4;Teve mais facilidade para se organizar e fazer as atividades de casa
;;;;teve um bom desempenho, com pontos fortes que se destacaram ;01/08/2017;;;01/08/2008;4;5;;;7;;;;5;3;3;5;8;Conseguiu ter um aumento na produtividade
;;;;;;;;01/02/2009;5;6;;;4;;;;7;6;8;7;4;
;;;;;;;;01/04/2009;5;6;;;7;;;;5;6;4;6;0;
;;;;;;;;01/06/2009;3;5;;;6;;;;7;6;5;4;4;
;;;;;;;;01/08/2009;7;6;;;8;;;;7;6;5;4;6;
;;;;;;;;01/02/2010;4;4;;;3;;;;6;5;7;6;7;
;;;;;;;;01/04/2010;4;6;;;6;;;;6;4;6;4;6;
;;;;;;;;01/06/2010;5;6;;;4;;;;4;3;5;6;7;
;;;;;;;;01/08/2010;7;6;;;5;;;;7;4;8;8;2;
;;;;;;;;01/02/2011;4;6;;;7;;;;5;9;7;9;7;
;;;;;;;;01/04/2011;5;5;;;5;;;;6;7;5;5;6;
;;;;;;;;01/06/2011;7;6;;;5;;;;4;6;5;7;6;
;;;;;;;;01/08/2011;5;5;;;6;;;;5;4;4;5;4;
;;;;;;;;01/02/2012;6;8;;;5;;;;5;7;4;5;5;
;;;;;;;;01/04/2012;3;5;;;7;;;;5;3;5;5;6;
;;;;;;;;01/06/2012;5;6;;;7;;;;4;5;7;8;4;
;;;;;;;;01/08/2012;5;7;;;5;;;;7;5;8;9;4;
;;;;;;;;01/02/2013;4;5;;;7;;;;5;3;3;5;8;
;;;;;;;;01/04/2013;5;6;;;4;;;;7;6;8;7;4;
;;;;;;;;01/06/2013;4;9;;;8;;;;7;5;6;5;2;
;;;;;;;;01/08/2013;6;3;;;8;;;;7;8;6;7;5;
;;;;;;;;01/02/2014;4;5;;;6;;;;6;4;5;4;6;
;;;;;;;;01/04/2014;7;6;;;5;;;;7;4;8;8;9;
;;;;;;;;01/06/2014;4;6;;;7;;;;5;9;7;9;7;
;;;;;;;;01/08/2014;5;5;;;5;;;;6;7;5;5;6;
;;;;;;;;01/02/2015;4;4;6;5;3;6;7;7;6;5;7;7;2;
;;;;;;;;01/04/2015;4;6;6;6;6;7;8;4;6;4;6;4;6;
;;;;;;;;01/06/2015;5;6;7;5;4;6;6;6;4;3;5;6;7;
;;;;;;;;01/08/2015;7;6;5;6;5;5;7;7;7;4;8;8;9;
;;;;;;;;01/02/2016;4;6;4;6;7;7;5;6;5;9;7;9;7;
;;;;;;;;01/04/2016;5;5;6;6;5;6;9;7;6;7;5;5;6;
;;;;;;;;01/06/2016;7;6;7;6;5;5;6;7;4;6;5;7;6;
;;;;;;;;01/08/2016;5;5;5;4;6;5;4;8;5;4;4;5;2;
;;;;;;;;01/02/2017;6;8;6;7;5;5;6;4;5;7;4;5;5;
;;;;;;;;01/04/2017;3;5;7;7;7;5;6;8;5;3;5;5;6;
;;;;;;;;01/06/2017;5;6;7;8;7;6;6;9;4;5;7;8;4;
;;;;;;;;01/08/2017;5;7;4;6;5;4;6;7;7;5;8;9;4;
